,Request id,Pickup point,Status,Request timestamp,Hour,Day,Time Slot
41,1756,Airport,Trip Completed,2016-07-12 08:40:00,8,Tuesday,Morning
42,2052,City,Trip Completed,2016-07-12 14:48:00,14,Tuesday,Aftrnoon
43,2559,City,Trip Completed,2016-07-12 21:32:00,21,Tuesday,Late Night
44,3014,City,Trip Completed,2016-07-13 07:28:14,7,Wednesday,Morning
45,3317,City,Trip Completed,2016-07-13 12:14:27,12,Wednesday,Aftrnoon
46,4297,City,Trip Completed,2016-07-14 06:43:01,6,Thursday,Morning
47,5857,Airport,Trip Completed,2016-07-15 09:08:50,9,Friday,Morning
48,6690,Airport,Trip Completed,2016-07-15 22:41:41,22,Friday,Late Night
49,1517,Airport,Trip Completed,2016-07-12 05:45:00,5,Tuesday,Early Morning
50,1999,Airport,Trip Completed,2016-07-12 13:02:00,13,Tuesday,Aftrnoon
51,2960,Airport,Trip Completed,2016-07-13 06:50:33,6,Wednesday,Morning
52,3882,City,Trip Completed,2016-07-13 21:53:03,21,Wednesday,Late Night
53,4081,Airport,Trip Completed,2016-07-14 02:37:14,2,Thursday,Early Morning
54,4740,City,Trip Completed,2016-07-14 14:50:07,14,Thursday,Aftrnoon
55,5270,City,Trip Completed,2016-07-14 21:33:55,21,Thursday,Late Night
56,6758,Airport,Trip Completed,2016-07-15 00:03:39,0,Friday,Early Morning
57,5741,City,Trip Completed,2016-07-15 07:52:51,7,Friday,Morning
58,6087,Airport,Trip Completed,2016-07-15 14:28:50,14,Friday,Aftrnoon
59,1039,City,Trip Completed,2016-07-11 19:31:00,19,Monday,Night
60,1273,Airport,Trip Completed,2016-07-11 22:07:00,22,Monday,Late Night
61,2480,City,Trip Completed,2016-07-12 20:39:00,20,Tuesday,Night
62,4105,City,Trip Completed,2016-07-14 03:39:38,3,Thursday,Early Morning
63,4509,City,Trip Completed,2016-07-14 09:11:13,9,Thursday,Morning
64,4986,Airport,Trip Completed,2016-07-14 18:52:32,18,Thursday,Night
65,5898,City,Trip Completed,2016-07-15 09:50:28,9,Friday,Morning
66,6142,Airport,Trip Completed,2016-07-15 15:50:15,15,Friday,Evening
67,380,Airport,Trip Completed,2016-07-11 08:18:00,8,Monday,Morning
68,1050,Airport,Trip Completed,2016-07-11 19:39:00,19,Monday,Night
69,1769,City,Trip Completed,2016-07-12 08:57:00,8,Tuesday,Morning
70,2520,City,Trip Completed,2016-07-12 21:05:00,21,Tuesday,Late Night
71,3265,Airport,Trip Completed,2016-07-13 10:22:07,10,Wednesday,Morning
72,4648,City,Trip Completed,2016-07-14 11:55:10,11,Thursday,Morning
73,449,Airport,Trip Completed,2016-07-11 09:08:00,9,Monday,Morning
74,846,Airport,Trip Completed,2016-07-11 17:46:00,17,Monday,Evening
75,1346,Airport,Trip Completed,2016-07-11 23:39:00,23,Monday,Late Night
76,1474,Airport,Trip Completed,2016-07-12 05:13:00,5,Tuesday,Early Morning
77,2240,City,Trip Completed,2016-07-12 18:20:00,18,Tuesday,Night
78,3072,Airport,Trip Completed,2016-07-13 08:04:57,8,Wednesday,Morning
79,3459,Airport,Trip Completed,2016-07-13 17:03:30,17,Wednesday,Evening
80,3774,Airport,Trip Completed,2016-07-13 20:41:24,20,Wednesday,Night
81,4023,City,Trip Completed,2016-07-13 23:58:41,23,Wednesday,Late Night
82,4117,City,Trip Completed,2016-07-14 04:21:42,4,Thursday,Early Morning
83,4880,Airport,Trip Completed,2016-07-14 17:58:46,17,Thursday,Evening
84,5568,Airport,Trip Completed,2016-07-15 05:47:49,5,Friday,Early Morning
85,5994,Airport,Trip Completed,2016-07-15 11:51:16,11,Friday,Morning
86,1809,Airport,Trip Completed,2016-07-12 09:13:00,9,Tuesday,Morning
87,2064,Airport,Trip Completed,2016-07-12 15:08:00,15,Tuesday,Evening
88,3210,City,Trip Completed,2016-07-13 09:47:06,9,Wednesday,Morning
89,4350,City,Trip Completed,2016-07-14 07:24:43,7,Thursday,Morning
90,4713,City,Trip Completed,2016-07-14 13:31:24,13,Thursday,Aftrnoon
91,5629,Airport,Trip Completed,2016-07-15 06:33:00,6,Friday,Morning
92,6157,Airport,Trip Completed,2016-07-15 16:32:51,16,Friday,Evening
93,2030,City,Trip Completed,2016-07-12 14:11:00,14,Tuesday,Aftrnoon
94,3226,City,Trip Completed,2016-07-13 10:00:17,10,Wednesday,Morning
95,3353,City,Trip Completed,2016-07-13 13:29:44,13,Wednesday,Aftrnoon
96,4293,City,Trip Completed,2016-07-14 06:42:36,6,Thursday,Morning
97,4936,City,Trip Completed,2016-07-14 18:22:17,18,Thursday,Night
98,5661,Airport,Trip Completed,2016-07-15 07:08:50,7,Friday,Morning
99,5778,City,Trip Completed,2016-07-15 08:22:03,8,Friday,Morning
100,6425,Airport,Trip Completed,2016-07-15 19:46:40,19,Friday,Night
101,45,Airport,Trip Completed,2016-07-11 03:17:00,3,Monday,Early Morning
102,264,City,Trip Completed,2016-07-11 06:51:00,6,Monday,Morning
103,1183,City,Trip Completed,2016-07-11 21:05:00,21,Monday,Late Night
104,1536,Airport,Trip Completed,2016-07-12 05:59:00,5,Tuesday,Early Morning
105,2437,City,Trip Completed,2016-07-12 20:18:00,20,Tuesday,Night
106,2641,Airport,Trip Completed,2016-07-12 22:28:00,22,Tuesday,Late Night
107,4077,Airport,Trip Completed,2016-07-14 02:14:15,2,Thursday,Early Morning
108,4610,City,Trip Completed,2016-07-14 10:35:14,10,Thursday,Morning
109,5066,Airport,Trip Completed,2016-07-14 19:31:20,19,Thursday,Night
110,5666,Airport,Trip Completed,2016-07-15 07:04:55,7,Friday,Morning
111,5923,City,Trip Completed,2016-07-15 10:07:49,10,Friday,Morning
112,6367,City,Trip Completed,2016-07-15 19:04:46,19,Friday,Night
113,155,City,Trip Completed,2016-07-11 05:32:00,5,Monday,Early Morning
114,310,Airport,Trip Completed,2016-07-11 07:24:00,7,Monday,Morning
115,607,City,Trip Completed,2016-07-11 11:51:00,11,Monday,Morning
116,1012,City,Trip Completed,2016-07-11 19:15:00,19,Monday,Night
117,1696,Airport,Trip Completed,2016-07-12 08:01:00,8,Tuesday,Morning
118,3076,City,Trip Completed,2016-07-13 08:09:04,8,Wednesday,Morning
119,4198,Airport,Trip Completed,2016-07-14 05:32:14,5,Thursday,Early Morning
120,4627,City,Trip Completed,2016-07-14 11:13:19,11,Thursday,Morning
121,5289,City,Trip Completed,2016-07-14 21:43:24,21,Thursday,Late Night
122,5495,Airport,Trip Completed,2016-07-15 05:00:13,5,Friday,Early Morning
123,6656,Airport,Trip Completed,2016-07-15 22:08:42,22,Friday,Late Night
124,139,Airport,Trip Completed,2016-07-11 05:21:00,5,Monday,Early Morning
125,215,City,Trip Completed,2016-07-11 06:15:00,6,Monday,Morning
126,1816,City,Trip Completed,2016-07-12 09:24:00,9,Tuesday,Morning
127,2505,Airport,Trip Completed,2016-07-12 21:03:00,21,Tuesday,Late Night
128,3346,City,Trip Completed,2016-07-13 13:01:42,13,Wednesday,Aftrnoon
129,5294,City,Trip Completed,2016-07-14 21:45:50,21,Thursday,Late Night
130,6226,Airport,Trip Completed,2016-07-15 17:34:25,17,Friday,Evening
131,6733,Airport,Trip Completed,2016-07-15 23:32:44,23,Friday,Late Night
132,1027,Airport,Trip Completed,2016-07-11 19:18:00,19,Monday,Night
133,2675,Airport,Trip Completed,2016-07-12 23:43:00,23,Tuesday,Late Night
134,3200,City,Trip Completed,2016-07-13 09:39:44,9,Wednesday,Morning
135,3865,City,Trip Completed,2016-07-13 21:52:05,21,Wednesday,Late Night
136,4468,City,Trip Completed,2016-07-14 08:42:46,8,Thursday,Morning
137,5163,Airport,Trip Completed,2016-07-14 20:34:30,20,Thursday,Night
138,6009,City,Trip Completed,2016-07-15 12:22:35,12,Friday,Aftrnoon
139,6448,Airport,Trip Completed,2016-07-15 20:02:54,20,Friday,Night
140,591,City,Trip Completed,2016-07-11 11:25:00,11,Monday,Morning
141,709,City,Trip Completed,2016-07-11 14:16:00,14,Monday,Aftrnoon
142,1167,Airport,Trip Completed,2016-07-11 20:50:00,20,Monday,Night
143,2661,Airport,Trip Completed,2016-07-12 23:23:00,23,Tuesday,Late Night
144,2808,City,Trip Completed,2016-07-13 05:05:16,5,Wednesday,Early Morning
145,3258,Airport,Trip Completed,2016-07-13 10:12:51,10,Wednesday,Morning
146,3413,Airport,Trip Completed,2016-07-13 15:32:01,15,Wednesday,Evening
147,3939,Airport,Trip Completed,2016-07-13 22:26:26,22,Wednesday,Late Night
148,4125,City,Trip Completed,2016-07-14 04:37:11,4,Thursday,Early Morning
149,4457,City,Trip Completed,2016-07-14 08:36:24,8,Thursday,Morning
150,4728,City,Trip Completed,2016-07-14 14:04:13,14,Thursday,Aftrnoon
151,5347,Airport,Trip Completed,2016-07-14 22:51:47,22,Thursday,Late Night
152,6147,City,Trip Completed,2016-07-15 16:11:02,16,Friday,Evening
153,6496,Airport,Trip Completed,2016-07-15 20:33:00,20,Friday,Night
154,634,City,Trip Completed,2016-07-11 12:25:00,12,Monday,Aftrnoon
155,939,Airport,Trip Completed,2016-07-11 18:25:00,18,Monday,Night
156,2628,Airport,Trip Completed,2016-07-12 22:10:00,22,Tuesday,Late Night
157,3021,City,Trip Completed,2016-07-13 07:33:20,7,Wednesday,Morning
158,4743,City,Trip Completed,2016-07-14 14:54:16,14,Thursday,Aftrnoon
159,4981,City,Trip Completed,2016-07-14 18:47:42,18,Thursday,Night
160,5367,Airport,Trip Completed,2016-07-14 23:35:34,23,Thursday,Late Night
161,5471,Airport,Trip Completed,2016-07-15 04:48:57,4,Friday,Early Morning
162,5988,Airport,Trip Completed,2016-07-15 11:48:32,11,Friday,Morning
163,6477,Airport,Trip Completed,2016-07-15 20:21:26,20,Friday,Night
164,499,City,Trip Completed,2016-07-11 09:39:00,9,Monday,Morning
165,1147,Airport,Trip Completed,2016-07-11 20:42:00,20,Monday,Night
166,1410,Airport,Trip Completed,2016-07-12 03:14:00,3,Tuesday,Early Morning
167,1804,Airport,Trip Completed,2016-07-12 09:12:00,9,Tuesday,Morning
168,1949,Airport,Trip Completed,2016-07-12 11:32:00,11,Tuesday,Morning
169,2713,City,Trip Completed,2016-07-13 01:46:42,1,Wednesday,Early Morning
170,2845,City,Trip Completed,2016-07-13 05:28:29,5,Wednesday,Early Morning
171,3943,Airport,Trip Completed,2016-07-13 22:35:38,22,Wednesday,Late Night
172,4792,City,Trip Completed,2016-07-14 16:47:15,16,Thursday,Evening
173,5207,Airport,Trip Completed,2016-07-14 20:57:41,20,Thursday,Night
174,5890,City,Trip Completed,2016-07-15 09:43:57,9,Friday,Morning
175,494,City,Trip Completed,2016-07-11 09:36:00,9,Monday,Morning
176,1485,City,Trip Completed,2016-07-12 05:21:00,5,Tuesday,Early Morning
177,2042,City,Trip Completed,2016-07-12 14:30:00,14,Tuesday,Aftrnoon
178,2561,Airport,Trip Completed,2016-07-12 21:29:00,21,Tuesday,Late Night
179,3813,Airport,Trip Completed,2016-07-13 21:06:57,21,Wednesday,Late Night
180,4260,Airport,Trip Completed,2016-07-14 06:11:51,6,Thursday,Morning
181,4395,City,Trip Completed,2016-07-14 08:00:15,8,Thursday,Morning
182,5919,City,Trip Completed,2016-07-15 10:03:42,10,Friday,Morning
183,6002,Airport,Trip Completed,2016-07-15 12:04:15,12,Friday,Aftrnoon
184,468,City,Trip Completed,2016-07-11 09:20:00,9,Monday,Morning
185,693,Airport,Trip Completed,2016-07-11 13:51:00,13,Monday,Aftrnoon
186,1178,City,Trip Completed,2016-07-11 21:05:00,21,Monday,Late Night
187,2103,City,Trip Completed,2016-07-12 16:08:00,16,Tuesday,Evening
188,2292,Airport,Trip Completed,2016-07-12 18:46:00,18,Tuesday,Night
189,3339,City,Trip Completed,2016-07-13 12:40:58,12,Wednesday,Aftrnoon
190,3694,City,Trip Completed,2016-07-13 19:33:19,19,Wednesday,Night
191,4469,City,Trip Completed,2016-07-14 08:45:13,8,Thursday,Morning
192,6432,City,Trip Completed,2016-07-15 19:50:57,19,Friday,Night
193,1895,City,Trip Completed,2016-07-12 10:20:00,10,Tuesday,Morning
194,1981,Airport,Trip Completed,2016-07-12 12:23:00,12,Tuesday,Aftrnoon
195,3744,Airport,Trip Completed,2016-07-13 20:28:11,20,Wednesday,Night
196,4433,Airport,Trip Completed,2016-07-14 08:26:32,8,Thursday,Morning
197,6039,Airport,Trip Completed,2016-07-15 13:11:04,13,Friday,Aftrnoon
198,6543,City,Trip Completed,2016-07-15 20:54:20,20,Friday,Night
199,110,City,Trip Completed,2016-07-11 05:05:00,5,Monday,Early Morning
200,362,City,Trip Completed,2016-07-11 08:01:00,8,Monday,Morning
201,666,Airport,Trip Completed,2016-07-11 13:02:00,13,Monday,Aftrnoon
202,926,City,Trip Completed,2016-07-11 18:28:00,18,Monday,Night
203,1180,Airport,Trip Completed,2016-07-11 21:01:00,21,Monday,Late Night
204,1900,City,Trip Completed,2016-07-12 10:32:00,10,Tuesday,Morning
205,2506,City,Trip Completed,2016-07-12 21:01:00,21,Tuesday,Late Night
206,3064,City,Trip Completed,2016-07-13 08:02:03,8,Wednesday,Morning
207,3327,Airport,Trip Completed,2016-07-13 12:24:41,12,Wednesday,Aftrnoon
208,3601,City,Trip Completed,2016-07-13 18:39:00,18,Wednesday,Night
209,4768,Airport,Trip Completed,2016-07-14 15:39:24,15,Thursday,Evening
210,5142,City,Trip Completed,2016-07-14 20:17:51,20,Thursday,Night
211,5366,Airport,Trip Completed,2016-07-14 23:27:22,23,Thursday,Late Night
212,5575,City,Trip Completed,2016-07-15 05:53:55,5,Friday,Early Morning
213,5902,City,Trip Completed,2016-07-15 09:52:57,9,Friday,Morning
214,6694,Airport,Trip Completed,2016-07-15 22:45:44,22,Friday,Late Night
215,523,Airport,Trip Completed,2016-07-11 09:48:00,9,Monday,Morning
216,747,City,Trip Completed,2016-07-11 15:53:00,15,Monday,Evening
217,1371,Airport,Trip Completed,2016-07-12 00:22:00,0,Tuesday,Early Morning
218,1553,City,Trip Completed,2016-07-12 06:09:00,6,Tuesday,Morning
219,1692,Airport,Trip Completed,2016-07-12 07:52:00,7,Tuesday,Morning
220,2114,City,Trip Completed,2016-07-12 16:36:00,16,Tuesday,Evening
221,2742,City,Trip Completed,2016-07-13 03:07:37,3,Wednesday,Early Morning
222,4273,City,Trip Completed,2016-07-14 06:17:01,6,Thursday,Morning
223,4668,City,Trip Completed,2016-07-14 12:25:02,12,Thursday,Aftrnoon
224,5425,City,Trip Completed,2016-07-15 02:23:56,2,Friday,Early Morning
225,5488,City,Trip Completed,2016-07-15 04:53:42,4,Friday,Early Morning
226,5781,City,Trip Completed,2016-07-15 08:35:47,8,Friday,Morning
227,5966,Airport,Trip Completed,2016-07-15 10:54:27,10,Friday,Morning
228,6122,City,Trip Completed,2016-07-15 15:26:06,15,Friday,Evening
229,357,Airport,Trip Completed,2016-07-11 08:00:00,8,Monday,Morning
230,1068,City,Trip Completed,2016-07-11 19:52:00,19,Monday,Night
231,2689,Airport,Trip Completed,2016-07-13 00:34:03,0,Wednesday,Early Morning
232,2791,City,Trip Completed,2016-07-13 04:56:20,4,Wednesday,Early Morning
233,3321,City,Trip Completed,2016-07-13 12:23:02,12,Wednesday,Aftrnoon
234,3423,Airport,Trip Completed,2016-07-13 15:52:07,15,Wednesday,Evening
235,3761,Airport,Trip Completed,2016-07-13 20:35:24,20,Wednesday,Night
236,4140,City,Trip Completed,2016-07-14 04:48:09,4,Thursday,Early Morning
237,4656,City,Trip Completed,2016-07-14 12:06:27,12,Thursday,Aftrnoon
238,4931,Airport,Trip Completed,2016-07-14 18:21:52,18,Thursday,Night
239,5268,City,Trip Completed,2016-07-14 21:29:35,21,Thursday,Late Night
240,5811,City,Trip Completed,2016-07-15 08:46:30,8,Friday,Morning
241,6139,Airport,Trip Completed,2016-07-15 15:45:16,15,Friday,Evening
242,6333,Airport,Trip Completed,2016-07-15 18:41:22,18,Friday,Night
243,773,City,Trip Completed,2016-07-11 16:23:00,16,Monday,Evening
244,1123,City,Trip Completed,2016-07-11 20:20:00,20,Monday,Night
245,2667,Airport,Trip Completed,2016-07-12 23:35:00,23,Tuesday,Late Night
246,2833,City,Trip Completed,2016-07-13 05:27:26,5,Wednesday,Early Morning
247,3396,City,Trip Completed,2016-07-13 14:59:08,14,Wednesday,Aftrnoon
248,3590,City,Trip Completed,2016-07-13 18:31:29,18,Wednesday,Night
249,3762,City,Trip Completed,2016-07-13 20:38:10,20,Wednesday,Night
250,4566,City,Trip Completed,2016-07-14 09:48:56,9,Thursday,Morning
251,4862,City,Trip Completed,2016-07-14 17:37:44,17,Thursday,Evening
252,5564,Airport,Trip Completed,2016-07-15 05:41:11,5,Friday,Early Morning
253,6187,City,Trip Completed,2016-07-15 17:11:08,17,Friday,Evening
254,6642,City,Trip Completed,2016-07-15 22:07:14,22,Friday,Late Night
255,322,City,Trip Completed,2016-07-11 07:31:00,7,Monday,Morning
256,793,City,Trip Completed,2016-07-11 17:04:00,17,Monday,Evening
257,898,Airport,Trip Completed,2016-07-11 18:14:00,18,Monday,Night
258,1258,City,Trip Completed,2016-07-11 21:51:00,21,Monday,Late Night
259,2832,City,Trip Completed,2016-07-13 05:20:16,5,Wednesday,Early Morning
260,3139,City,Trip Completed,2016-07-13 08:54:04,8,Wednesday,Morning
261,3438,City,Trip Completed,2016-07-13 16:12:53,16,Wednesday,Evening
262,3966,Airport,Trip Completed,2016-07-13 22:50:42,22,Wednesday,Late Night
263,6401,Airport,Trip Completed,2016-07-15 19:33:00,19,Friday,Night
264,204,City,Trip Completed,2016-07-11 06:04:00,6,Monday,Morning
265,632,Airport,Trip Completed,2016-07-11 12:20:00,12,Monday,Aftrnoon
266,763,City,Trip Completed,2016-07-11 16:19:00,16,Monday,Evening
267,1786,Airport,Trip Completed,2016-07-12 09:03:00,9,Tuesday,Morning
268,1968,City,Trip Completed,2016-07-12 12:10:00,12,Tuesday,Aftrnoon
269,2088,Airport,Trip Completed,2016-07-12 15:51:00,15,Tuesday,Evening
270,2473,Airport,Trip Completed,2016-07-12 20:43:00,20,Tuesday,Night
271,2869,Airport,Trip Completed,2016-07-13 05:50:09,5,Wednesday,Early Morning
272,3742,Airport,Trip Completed,2016-07-13 20:24:23,20,Wednesday,Night
273,4440,Airport,Trip Completed,2016-07-14 08:26:29,8,Thursday,Morning
274,5234,City,Trip Completed,2016-07-14 21:09:47,21,Thursday,Late Night
275,6354,Airport,Trip Completed,2016-07-15 18:59:01,18,Friday,Night
276,6638,City,Trip Completed,2016-07-15 21:59:10,21,Friday,Late Night
277,84,City,Trip Completed,2016-07-11 04:50:00,4,Monday,Early Morning
278,1199,City,Trip Completed,2016-07-11 21:17:00,21,Monday,Late Night
279,1676,Airport,Trip Completed,2016-07-12 07:44:00,7,Tuesday,Morning
280,2774,City,Trip Completed,2016-07-13 04:33:38,4,Wednesday,Early Morning
281,3220,Airport,Trip Completed,2016-07-13 09:51:41,9,Wednesday,Morning
282,3718,Airport,Trip Completed,2016-07-13 19:56:20,19,Wednesday,Night
283,4904,Airport,Trip Completed,2016-07-14 18:02:23,18,Thursday,Night
284,6527,Airport,Trip Completed,2016-07-15 20:54:01,20,Friday,Night
285,6710,City,Trip Completed,2016-07-15 23:02:36,23,Friday,Late Night
286,1584,Airport,Trip Completed,2016-07-12 06:26:00,6,Tuesday,Morning
287,1966,Airport,Trip Completed,2016-07-12 12:05:00,12,Tuesday,Aftrnoon
288,2827,City,Trip Completed,2016-07-13 05:18:31,5,Wednesday,Early Morning
289,2945,Airport,Trip Completed,2016-07-13 06:34:13,6,Wednesday,Morning
290,3365,City,Trip Completed,2016-07-13 13:47:14,13,Wednesday,Aftrnoon
291,3548,Airport,Trip Completed,2016-07-13 18:07:42,18,Wednesday,Night
292,3753,City,Trip Completed,2016-07-13 20:30:08,20,Wednesday,Night
293,4569,Airport,Trip Completed,2016-07-14 09:48:17,9,Thursday,Morning
294,6309,Airport,Trip Completed,2016-07-15 18:29:54,18,Friday,Night
295,6437,City,Trip Completed,2016-07-15 19:53:52,19,Friday,Night
296,517,Airport,Trip Completed,2016-07-11 09:45:00,9,Monday,Morning
297,1406,Airport,Trip Completed,2016-07-12 03:02:00,3,Tuesday,Early Morning
298,1643,Airport,Trip Completed,2016-07-12 07:18:00,7,Tuesday,Morning
299,2108,Airport,Trip Completed,2016-07-12 16:14:00,16,Tuesday,Evening
300,2647,City,Trip Completed,2016-07-12 22:46:00,22,Tuesday,Late Night
301,3129,City,Trip Completed,2016-07-13 08:41:49,8,Wednesday,Morning
302,3738,Airport,Trip Completed,2016-07-13 20:15:54,20,Wednesday,Night
303,4422,Airport,Trip Completed,2016-07-14 08:13:15,8,Thursday,Morning
304,4790,City,Trip Completed,2016-07-14 16:43:53,16,Thursday,Evening
305,5496,City,Trip Completed,2016-07-15 04:59:58,4,Friday,Early Morning
306,6484,Airport,Trip Completed,2016-07-15 20:19:45,20,Friday,Night
307,6731,Airport,Trip Completed,2016-07-15 23:23:55,23,Friday,Late Night
308,629,Airport,Trip Completed,2016-07-11 12:14:00,12,Monday,Aftrnoon
309,745,Airport,Trip Completed,2016-07-11 15:48:00,15,Monday,Evening
310,1064,City,Trip Completed,2016-07-11 19:53:00,19,Monday,Night
311,1886,Airport,Trip Completed,2016-07-12 10:10:00,10,Tuesday,Morning
312,5608,Airport,Trip Completed,2016-07-15 06:18:36,6,Friday,Morning
313,5877,City,Trip Completed,2016-07-15 09:37:21,9,Friday,Morning
314,6100,Airport,Trip Completed,2016-07-15 14:44:32,14,Friday,Aftrnoon
315,6659,Airport,Trip Completed,2016-07-15 22:15:45,22,Friday,Late Night
316,2162,Airport,Trip Completed,2016-07-12 17:34:00,17,Tuesday,Evening
317,3294,Airport,Trip Completed,2016-07-13 11:23:36,11,Wednesday,Morning
318,3686,City,Trip Completed,2016-07-13 19:33:18,19,Wednesday,Night
319,4784,City,Trip Completed,2016-07-14 16:41:52,16,Thursday,Evening
320,5896,City,Trip Completed,2016-07-15 09:47:11,9,Friday,Morning
321,6190,City,Trip Completed,2016-07-15 17:11:33,17,Friday,Evening
322,6551,City,Trip Completed,2016-07-15 21:03:02,21,Friday,Late Night
323,145,City,Trip Completed,2016-07-11 05:32:00,5,Monday,Early Morning
324,735,City,Trip Completed,2016-07-11 15:27:00,15,Monday,Evening
325,918,Airport,Trip Completed,2016-07-11 18:22:00,18,Monday,Night
326,1478,City,Trip Completed,2016-07-12 05:16:00,5,Tuesday,Early Morning
327,1957,City,Trip Completed,2016-07-12 11:45:00,11,Tuesday,Morning
328,3097,City,Trip Completed,2016-07-13 08:15:34,8,Wednesday,Morning
329,3981,Airport,Trip Completed,2016-07-13 23:13:54,23,Wednesday,Late Night
330,4175,City,Trip Completed,2016-07-14 05:11:15,5,Thursday,Early Morning
331,6237,City,Trip Completed,2016-07-15 17:50:37,17,Friday,Evening
332,738,City,Trip Completed,2016-07-11 15:30:00,15,Monday,Evening
333,2731,City,Trip Completed,2016-07-13 02:38:48,2,Wednesday,Early Morning
334,2863,Airport,Trip Completed,2016-07-13 05:46:42,5,Wednesday,Early Morning
335,3528,Airport,Trip Completed,2016-07-13 17:50:59,17,Wednesday,Evening
336,4653,City,Trip Completed,2016-07-14 11:58:46,11,Thursday,Morning
337,5042,City,Trip Completed,2016-07-14 19:21:16,19,Thursday,Night
338,360,Airport,Trip Completed,2016-07-11 08:02:00,8,Monday,Morning
339,771,Airport,Trip Completed,2016-07-11 16:19:00,16,Monday,Evening
340,1274,City,Trip Completed,2016-07-11 22:01:00,22,Monday,Late Night
341,1501,City,Trip Completed,2016-07-12 05:41:00,5,Tuesday,Early Morning
342,1972,City,Trip Completed,2016-07-12 12:22:00,12,Tuesday,Aftrnoon
343,2871,City,Trip Completed,2016-07-13 05:53:33,5,Wednesday,Early Morning
344,3395,City,Trip Completed,2016-07-13 14:52:52,14,Wednesday,Aftrnoon
345,3572,City,Trip Completed,2016-07-13 18:25:52,18,Wednesday,Night
346,4118,Airport,Trip Completed,2016-07-14 04:28:35,4,Thursday,Early Morning
347,4739,City,Trip Completed,2016-07-14 14:52:43,14,Thursday,Aftrnoon
348,6556,City,Trip Completed,2016-07-15 21:09:57,21,Friday,Late Night
349,6677,Airport,Trip Completed,2016-07-15 22:29:56,22,Friday,Late Night
350,1104,Airport,Trip Completed,2016-07-11 20:17:00,20,Monday,Night
351,1596,Airport,Trip Completed,2016-07-12 06:39:00,6,Tuesday,Morning
